family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,88,128,1024,1.28760435859127,1.2756395836111112,1.2980602792857145,,,
dyn_div,88,160,40,0.3133969058177821,0.3117374098129961,0.31514236368564996,,,
dyn_div,88,160,80,0.44604526612698414,0.4425591296746031,0.45001519519880956,,,
dyn_div,88,160,160,0.6656571535147393,0.663996033712585,0.6672360765769558,,,
dyn_div,88,160,320,1.1446133402380954,1.1401402066666666,1.149986136248016,,,
dyn_div,88,160,640,0.9551649088756613,0.9497249775925927,0.9609173122486772,,,
dyn_div,88,160,1280,0.984527497797619,0.9796962406532738,0.9895398727976192,,,
dyn_div,88,224,56,0.2579904367450639,0.25709787148083624,0.258895302659698,,,
dyn_div,88,224,112,0.40770121756056804,0.4064283671931913,0.40898641118776113,,,
dyn_div,88,224,224,0.7288695040128967,0.7204375862622767,0.7412931430406746,,,
dyn_div,88,224,448,0.7304012496329364,0.7273205036954365,0.7333324919496528,,,
dyn_div,88,224,896,0.8114703365476191,0.80851561,0.814733966547619,,,
dyn_div,88,224,1792,0.8623388153571429,0.8550634350000001,0.8701999097916666,,,
dyn_div,88,384,96,0.22021433535218254,0.21818870824181547,0.22241164653583828,,,
dyn_div,88,384,192,0.421301518962585,0.4174275940335884,0.42674549015306124,,,
dyn_div,88,384,384,0.6445007375496032,0.6419001838492064,0.6481886246235118,,,
dyn_div,88,384,768,0.5479343959920636,0.5447458280952381,0.5511961880624998,,,
dyn_div,88,384,1536,0.5552858597222223,0.5500885047013889,0.5623849097222222,,,
dyn_div,88,384,3072,0.5620685666666666,0.5563782799999999,0.56902838,,,
dyn_div,88,787,197,0.21401779032738097,0.2126225511607143,0.21542900137053572,,,
dyn_div,88,787,394,0.3074484209325396,0.3046067328373016,0.3102364861111111,,,
dyn_div,88,787,787,0.43652541859126986,0.43484430400793644,0.43838659999999996,,,
dyn_div,88,787,1574,0.44437006519841277,0.4401909635386904,0.4483211835892857,,,
dyn_div,88,787,3148,0.480177,0.4750573,0.48502341250000003,,,
dyn_div,88,787,6296,1.4477398000000001,1.42583223,1.4739707,,,
dyn_div,88,1573,393,0.16536663365079363,0.16253550206349207,0.16957172508333335,,,
dyn_div,88,1573,787,0.22138672321428574,0.218381125,0.2238677989285714,,,
dyn_div,88,1573,1573,0.394042923968254,0.38839044652777777,0.4008668378571429,,,
dyn_div,88,1573,3146,0.4098668,0.40706745,0.4123568525,,,
dyn_div,88,1573,6292,1.1443964,1.1249936999999999,1.1752975,,,
dyn_div,88,1573,12584,1.3952219,1.3765570750000002,1.4136275575,,,
dyn_div,88,3109,777,0.11924140000000003,0.11810156666666669,0.12059671749999999,,,
dyn_div,88,3109,1555,0.1928851,0.18982246666666666,0.19606791833333337,,,
